index,name,phoneNumber,email,readBooksIndex
0,Muhammad Alhomed,0504462241,abc@xyz.com,4 5 3 10 7
1,Abdullah Aloleqi,0505584620,abood@gmail.com,4 5 7 8 9 12 13
2,Mohammad AlSuhibani,0554646542,m.suhibani@qu.edu.sa,11 7 6 5 4
3,Linus Sebastian,056446464,Linus.S@ltt.com,4 5 6 10 8
4,Michael Stevens,056546654,Michael.S@vsauce.com,5 7 10 12 11
5,Tom Scott,053549756,TomScott@something.com,5 6 8 9 10 
6,Derek Muller,059716495,Derek.M@veritasium.com,7 10 12 9 13
7,Karoly Zsolnay-Feher,0554696631,Karoly.Z.F@twomin.com,4 5 6 8 9 10
8,Destin Sandlin,0556543348,Destin.S@SmarterEveryDay.com, 7 8 9 10 12 13 
9,Tim Apple,056462316,tcook@apple.com, 13 12 4 5 7 
